lead_time_days,product_name
49.0,MET0016492 (Sirop simple T Nat)
14.0,Jus de citron Conc. Clarifié 400gpl
140.0,Canette vide - Opémiska - Gin Tonic Bleuet - 355ml
49.0,MET0019339 (Agrume sirop nat. Renf)
49.0,MET0019338 (Framboises - Menthe)
49.0,MET0019337 (Grenade rhubarbe sirop type nat)
49.0,MET0019336 (Cerise amande sirop type nat)
49.0,MET0019335 (Mûre Rhubarbe sirop type nat)
49.0,MET0019324 (Fleur de sureau)
49.0,MET0019283 (Bleuet sirop naturel réenforcé)
49.0,MET0019267 (Noix de coco sirop type naturel)
49.0,MET0019243 (Lime sirop type naturel)
49.0,MET0019241 (Orgeat)
21.0,Etiquettes - Amers
21.0,Etiquette Moose 50ml
21.0,Etiquette - limonade pfb pour blank 
21.0,Etiquette - 200ml - Vodka Érable
21.0,Etiquette - 200ml - Rhum épicé
21.0,Etiquette - 200ml - Liqueur Cafe
21.0,Etiquette - 200ml - Amaretto
49.0,MET0019395 (Tiki hut)
49.0,MET0019394 (Fassionola sirop type naturel)
49.0,MET0019393 (Pêche)
49.0,MET0019340 (Thé vert - gingembre)
21.0,Étiquette - CDL - Dry Gin 1L
21.0,
21.0,Étiquette Vodka Caesar 750ml
21.0,Étiquette Moose Petit (Label)
21.0,Étiquette Moose 750ml
21.0,Étiquette Moose 250ml
21.0,Étiquette Moose 125ml
21.0,Étiquette Liqueur de vanille 750ml
21.0,Étiquette Liqueur de Café 750ml
21.0,Étiquette Liqueur d'orange 750ml
21.0,Étiquette Liqueur Amaretto 750ml
21.0,Étiquette Cherry River Bourbon 750ml
21.0,Étiquette Ceasar Caisse 6x350ml
21.0,Étiquette - CDL - Liqueur de vanille 1L
21.0,Étiquette - CDL - Liqueur de café - 1L
21.0,Étiquette - CDL - Liqueur d'orange 1L
21.0,Étiquette - CDL - Gin lime et gingembre 1L
21.0,Étiquette - CDL - Gin Petits Fruits Basilic 1L
21.0,Étiquette - CDL - Gin Pamplemousse 1L
21.0,Étiquette - CDL - Gin Framboise lime 1L
21.0,Étiquette Amer Canneberge
21.0,
