saq_entrepot_id,entrepot,code_saq,qty,annee,periode,semaine,date
428,CDQ,14989809,59.75,2022,9,3,2022-11-26
429,CDQ,14989833,26.9167,2022,9,3,2022-11-26
430,CDQ,15095284,0.1667,2022,9,3,2022-11-26
467,CDM,14001338,45.75,2022,9,4,2022-12-03
468,CDM,14064873,21.5,2022,9,4,2022-12-03
469,CDM,14250123,20.9167,2022,9,4,2022-12-03
470,CDM,14545132,165.5,2022,9,4,2022-12-03
471,CDM,14561781,102.083,2022,9,4,2022-12-03
472,CDM,14682882,348.5,2022,9,4,2022-12-03
473,CDM,14682891,126.833,2022,9,4,2022-12-03
474,CDM,14758699,281.917,2022,9,4,2022-12-03
475,CDM,14954868,93.1667,2022,9,4,2022-12-03
476,CDM,14954876,88.25,2022,9,4,2022-12-03
477,CDM,14960213,853.667,2022,9,4,2022-12-03
478,CDM,14989770,97.5833,2022,9,4,2022-12-03
479,CDM,14989788,63.6667,2022,9,4,2022-12-03
480,CDM,14989796,25.75,2022,9,4,2022-12-03
481,CDM,14989809,74.1667,2022,9,4,2022-12-03
482,CDM,14989825,340.5,2022,9,4,2022-12-03
483,CDM,14989833,142.25,2022,9,4,2022-12-03
484,CDM,15095284,249.583,2022,9,4,2022-12-03
485,CDQ,14001338,3.1667,2022,9,4,2022-12-03
486,CDQ,14064873,6.0,2022,9,4,2022-12-03
487,CDQ,14250123,7.5833,2022,9,4,2022-12-03
488,CDQ,14545132,77.3333,2022,9,4,2022-12-03
489,CDQ,14561781,38.25,2022,9,4,2022-12-03
490,CDQ,14682882,197.917,2022,9,4,2022-12-03
491,CDQ,14682891,21.4167,2022,9,4,2022-12-03
492,CDQ,14758699,120.5,2022,9,4,2022-12-03
493,CDQ,14954868,42.5833,2022,9,4,2022-12-03
494,CDQ,14954876,61.75,2022,9,4,2022-12-03
495,CDQ,14960213,528.583,2022,9,4,2022-12-03
496,CDQ,14989770,30.0,2022,9,4,2022-12-03
497,CDQ,14989788,37.8333,2022,9,4,2022-12-03
498,CDQ,14989796,75.6667,2022,9,4,2022-12-03
499,CDQ,14989809,57.75,2022,9,4,2022-12-03
500,CDQ,14989825,30.0,2022,9,4,2022-12-03
501,CDQ,14989833,25.9167,2022,9,4,2022-12-03
502,CDQ,15095284,0.1667,2022,9,4,2022-12-03
503,CDM,14001338,41.9167,2022,10,1,2022-12-10
504,CDM,14064873,64.4167,2022,10,1,2022-12-10
505,CDM,14250123,75.5,2022,10,1,2022-12-10
506,CDM,14545132,155.0,2022,10,1,2022-12-10
507,CDM,14561781,97.3333,2022,10,1,2022-12-10
508,CDM,14682882,308.583,2022,10,1,2022-12-10
509,CDM,14682891,124.5,2022,10,1,2022-12-10
510,CDM,14758699,231.25,2022,10,1,2022-12-10
511,CDM,14954868,82.3333,2022,10,1,2022-12-10
512,CDM,14954876,81.9167,2022,10,1,2022-12-10
513,CDM,14960213,825.0,2022,10,1,2022-12-10
514,CDM,14989770,134.5,2022,10,1,2022-12-10
515,CDM,14989788,51.3333,2022,10,1,2022-12-10
516,CDM,14989796,23.6667,2022,10,1,2022-12-10
517,CDM,14989809,66.3333,2022,10,1,2022-12-10
518,CDM,14989825,340.25,2022,10,1,2022-12-10
519,CDM,14989833,141.083,2022,10,1,2022-12-10
520,CDM,15095284,199.25,2022,10,1,2022-12-10
